pid,price,price_currency,price_timeframe,month,year,area,larea,type,otype,otype_sub,cid,rid,did,tagged_sid,renovation,nrooms,nbeds,nbaths,nbalcs,wfloor,status
704313,2130,lari,month,11,2018,150,,for_rent,flat,Apartments,Tbilisi,Vake-Saburtalo,Saburtalo,,Eurostandard,3,2,2,,11,new building
702283,1598,lari,month,11,2018,62,,for_rent,flat,Apartments,Tbilisi,Vake-Saburtalo,Saburtalo,,Eurostandard,3,2,1,,13,new building
703607,14647,lari,month,11,2018,230,,for_rent,commercial_estate,Office,Tbilisi,Vake-Saburtalo,Saburtalo,,Eurostandard,8,,3,,1,new building
703609,10585,lari,month,11,2018,270,,for_rent,commercial_estate,Office,Tbilisi,Didube-Chugureti,Chugureti,,Eurostandard,3,,2,,1,new building
703612,5326,lari,month,11,2018,135,,for_rent,commercial_estate,Office,Tbilisi,Old Tbilisi,Mtatsminda,,Eurostandard,5,,3,,1,new building
703615,6391,lari,month,11,2018,98,,for_rent,commercial_estate,Office,Tbilisi,Old Tbilisi,Sololaki,,Eurostandard,2,,2,,1,new building
703616,15978,lari,month,11,2018,495,,for_rent,commercial_estate,Office,Tbilisi,Vake-Saburtalo,Vake,,Eurostandard,9,,5,,1,new building
703619,31956,lari,month,11,2018,250,,for_rent,commercial_estate,Retail real estate,Tbilisi,Old Tbilisi,Mtatsminda,,Eurostandard,6,,1,,1,new building
703630,9321,lari,month,11,2018,345,,for_rent,flat,Apartments,Tbilisi,Vake-Saburtalo,Vake,,Eurostandard,8,4,3,,14,new building
703631,9853,lari,month,11,2018,255,,for_rent,commercial_estate,Restaurant,Tbilisi,Didube-Chugureti,Chugureti,,Eurostandard,6,,3,,1,new building
703633,4261,lari,month,11,2018,80,,for_rent,commercial_estate,Office,Tbilisi,Old Tbilisi,Mtatsminda,,Eurostandard,2,,1,,2,new building
703637,5326,lari,month,11,2018,110,,for_rent,flat,Apartments,Tbilisi,Old Tbilisi,Mtatsminda,,Eurostandard,4,3,2,,3,new building
703643,1598,lari,month,11,2018,50,,for_rent,flat,Apartments,Tbilisi,Vake-Saburtalo,Vake,,Eurostandard,2,1,1,,4,new building
703648,1598,lari,month,11,2018,75,,for_rent,flat,Apartments,Tbilisi,Vake-Saburtalo,Saburtalo,,Eurostandard,2,1,1,,6,new building
703651,2130,lari,month,11,2018,110,,for_rent,flat,Apartments,Tbilisi,Vake-Saburtalo,Saburtalo,,Eurostandard,3,2,1,,9,new building
701605,4261,lari,month,11,2018,85,,for_rent,commercial_estate,Office,Tbilisi,Old Tbilisi,Mtatsminda,,Eurostandard,2,,1,,2,new building
703657,3196,lari,month,11,2018,160,,for_rent,flat,Apartments,Tbilisi,Old Tbilisi,Krtsanisi,,Eurostandard,4,3,2,,4,new building
703724,1598,lari,month,11,2018,56,,for_rent,flat,Apartments,Tbilisi,Vake-Saburtalo,Vake,,Eurostandard,2,1,1,,10,new building
699655,1465,lari,month,11,2018,70,,for_rent,flat,Apartments,Tbilisi,Vake-Saburtalo,Saburtalo,,Eurostandard,2,1,1,,4,new building
699672,1198,lari,month,11,2018,71,,for_rent,flat,Apartments,Tbilisi,Vake-Saburtalo,Saburtalo,,Eurostandard,2,2,1,,4,new building
697383,3728,lari,month,11,2018,168,,for_rent,flat,Apartments,Tbilisi,Vake-Saburtalo,Vake,,Eurostandard,4,3,3,,5,new building
699688,1198,lari,month,11,2018,58,,for_rent,flat,Apartments,Tbilisi,Vake-Saburtalo,Saburtalo,,Eurostandard,2,1,1,,5,new building
699197,1598,lari,month,11,2018,84,,for_rent,flat,Apartments,Tbilisi,Vake-Saburtalo,Bagebi,,Eurostandard,3,2,1,,9,new building
699200,2796,lari,month,11,2018,125,,for_rent,flat,Apartments,Tbilisi,Vake-Saburtalo,Vake,,Eurostandard,3,2,2,,4,new building
699202,412765,lari,,11,2018,125,,for_sale,flat,Apartments,Tbilisi,Vake-Saburtalo,Vake,,Eurostandard,3,2,2,,4,new building
699203,3995,lari,month,11,2018,230,,for_rent,flat,Apartments,Tbilisi,Vake-Saburtalo,Vake,,Eurostandard,5,2,3,,2,new building
699206,3,lari,,11,2018,230,,for_sale,flat,Apartments,Tbilisi,Vake-Saburtalo,Vake,,Eurostandard,5,3,2,,2,new building
699208,1598,lari,month,11,2018,60,,for_rent,flat,Apartments,Tbilisi,Vake-Saburtalo,Saburtalo,,Eurostandard,3,2,1,,4,new building
699210,7989,lari,month,11,2018,142,,for_rent,flat,Apartments,Tbilisi,Old Tbilisi,Mtatsminda,,Eurostandard,4,3,2,,4,new building
